0.000000000000000000e+00 5.000000000000000000e-01
2.020202020202020166e-01 4.496660197129980219e-01
4.040404040404040331e-01 4.003419776401109798e-01
6.060606060606060774e-01 3.529583497941958803e-01
8.080808080808080662e-01 3.082996145772481378e-01
1.010101010101010166e+00 2.669600833870327539e-01
1.212121212121212155e+00 2.293259421224282113e-01
1.414141414141414144e+00 1.955816682874619294e-01
1.616161616161616132e+00 1.657349107206239069e-01
1.818181818181818121e+00 1.396521834167601117e-01
2.020202020202020332e+00 1.170981031717410886e-01
2.222222222222222321e+00 9.777259985079930771e-02
2.424242424242424310e+00 8.134267229951788747e-02
2.626262626262626299e+00 6.746720912569881268e-02
2.828282828282828287e+00 5.581482307538942339e-02
3.030303030303030276e+00 4.607550624931942146e-02
3.232323232323232265e+00 3.796729804599773689e-02
3.434343434343434254e+00 3.123921749825525618e-02
3.636363636363636243e+00 2.567158634982702817e-02
3.838383838383838231e+00 2.107466348342939416e-02
4.040404040404040664e+00 1.728629160452811037e-02
4.242424242424242209e+00 1.416905892250433334e-02
4.444444444444444642e+00 1.160731644530463118e-02
4.646464646464646187e+00 9.504267527927615089e-03
4.848484848484848619e+00 7.779256420218285534e-03
5.050505050505050164e+00 6.365320365320528001e-03
5.252525252525252597e+00 5.207028741243272321e-03
5.454545454545454142e+00 4.258607051910036356e-03
5.656565656565656575e+00 3.482328629332375088e-03
5.858585858585858119e+00 2.847149192598866316e-03
6.060606060606060552e+00 2.327556370095604059e-03
6.262626262626262097e+00 1.902606138127477383e-03
6.464646464646464530e+00 1.555119644135969162e-03
6.666666666666666963e+00 1.271016263081357943e-03
6.868686868686868507e+00 1.038761469682653255e-03
7.070707070707070940e+00 8.489108847501612926e-04
7.272727272727272485e+00 6.937344913503950454e-04
7.474747474747474918e+00 5.669074228733040396e-04
7.676767676767676463e+00 4.632558614622096544e-04
7.878787878787878896e+00 3.785484458713356021e-04
8.080808080808081328e+00 3.093251856011336345e-04
8.282828282828281985e+00 2.527572358434825397e-04
8.484848484848484418e+00 2.065320321523086684e-04
8.686868686868686851e+00 1.687592423293248617e-04
8.888888888888889284e+00 1.378937920163148532e-04
9.090909090909089940e+00 1.126728838984712830e-04
9.292929292929292373e+00 9.206447955784615659e-05
9.494949494949494806e+00 7.522516643569821654e-05
9.696969696969697239e+00 6.146570600826536761e-05
9.898989898989899672e+00 5.022286669551353561e-05
1.010101010101010033e+01 4.103639761979991057e-05
1.030303030303030276e+01 3.353020666906253894e-05
1.050505050505050519e+01 2.739697636224945886e-05
1.070707070707070763e+01 2.238559037544196733e-05
1.090909090909090828e+01 1.829085773781138639e-05
1.111111111111111072e+01 1.494511516497601893e-05
1.131313131313131315e+01 1.221136448599861067e-05
1.151515151515151558e+01 9.977664701523607767e-06
1.171717171717171624e+01 8.152549400456485460e-06
1.191919191919191867e+01 6.661282126215008969e-06
1.212121212121212110e+01 5.442796514466068511e-06
1.232323232323232354e+01 4.447196010280489975e-06
1.252525252525252419e+01 3.633710850563939512e-06
1.272727272727272663e+01 2.969028698126971926e-06
1.292929292929292906e+01 2.425930598508600262e-06
1.313131313131313149e+01 1.982176422827203558e-06
1.333333333333333393e+01 1.619594169223088409e-06
1.353535353535353458e+01 1.323335838727322290e-06
1.373737373737373701e+01 1.081269419485565082e-06
1.393939393939393945e+01 8.834820848427415705e-07
1.414141414141414188e+01 7.218742636500397094e-07
1.434343434343434254e+01 5.898279614899504821e-07
1.454545454545454497e+01 4.819357515160029209e-07
1.474747474747474740e+01 3.937793376541552867e-07
1.494949494949494984e+01 3.217486226640907812e-07
1.515151515151515049e+01 2.628938720831378822e-07
1.535353535353535293e+01 2.148049202590092793e-07
1.555555555555555536e+01 1.755124719948078817e-07
1.575757575757575779e+01 1.434074581121234738e-07
1.595959595959595845e+01 1.171751425278352392e-07
1.616161616161616266e+01 9.574128250568901991e-08
1.636363636363636331e+01 7.822813731775804229e-08
1.656565656565656397e+01 6.391852384302357798e-08
1.676767676767676818e+01 5.222644715393944439e-08
1.696969696969696884e+01 4.267310339000158097e-08
1.717171717171717304e+01 3.486727221524565458e-08
1.737373737373737370e+01 2.848929591282110550e-08
1.757575757575757436e+01 2.327798904516773895e-08
1.777777777777777857e+01 1.901994261734465311e-08
1.797979797979797922e+01 1.554078473803614604e-08
1.818181818181817988e+01 1.269803989313985379e-08
1.838383838383838409e+01 1.037529441156787583e-08
1.858585858585858475e+01 8.477429192763163818e-09
1.878787878787878896e+01 6.926724470896559663e-09
1.898989898989898961e+01 5.659677101528114798e-09
1.919191919191919027e+01 4.624400035070484191e-09
1.939393939393939448e+01 3.778497482574766823e-09
1.959595959595959513e+01 3.087328759480287576e-09
1.979797979797979934e+01 2.522589709763125481e-09
2.000000000000000000e+01 2.061153618190203739e-09
